type,id,name,gender,person,description
way,34022475,"Avenue Général Naessens de Loncin",M,"Victor Naessens","Victor Naessens Commandant au Fort de Loncin en 1914"
way,23696486,"Rue Denis Deceuster",M,"Denis Deceuster","Résistant, arreté le 8 janvier 1943 et fusillé le 13 janvier 1943"
way,452382836,"Rue Denis Deceuster",M,"Denis Deceuster","Résistant, arreté le 8 janvier 1943 et fusillé le 13 janvier 1943"
way,30127356,"Rue Denis Deceuster",M,"Denis Deceuster","Résistant, arreté le 8 janvier 1943 et fusillé le 13 janvier 1943"
way,46431628,"Rue Albert Croy",M,"Albert Croy","Résistant, arreté le 11 janvier 1943 et fusillé le 13 janvier 1943"
way,437146437,"Rue Albert Croy",M,"Albert Croy","Résistant, arreté le 11 janvier 1943 et fusillé le 13 janvier 1943"
way,31151955,"Rue Albert Croy",M,"Albert Croy","Résistant, arreté le 11 janvier 1943 et fusillé le 13 janvier 1943"
way,437146438,"Rue Albert Croy",M,"Albert Croy","Résistant, arreté le 11 janvier 1943 et fusillé le 13 janvier 1943"
way,220345544,"Rue Albert Croy",M,"Albert Croy","Résistant, arreté le 11 janvier 1943 et fusillé le 13 janvier 1943"
way,28101970,"Avenue Roger de Grimberghe",M,"Roger de Grimberghe",""
way,23696482,"Rue Edouard Dereume",M,"Edouard Dereume","Résistant, arreté le 9 janvier 1943 et fusillé le 13 janvier 1943"
way,23696488,"Avenue Paul Nicodème",M,"Paul Nicodème",""
