name,source,gender,wikidata,type
"Avenue Boulogne-Billancourt",wikidata,,Q172455,way
"Avenue de la Paix",wikidata,,Q454,way
"Avenue des Tourterelles",wikidata,,Q3535557,way
"Chaussée de Wavre",wikidata,,Q181314,way
"Drève des Hêtres",wikidata,,Q146149,way
"Rue de Nivelles",wikidata,,Q319463,way
"Avenue Alexandre",,,,way
"Avenue Amélie",,,,way
"Avenue Beau Rivage",,,,way
"Avenue Bel Horizon",,,,way
"Avenue Bel-Air",,,,way
"Avenue Bon Air",,,,way
"Avenue Bonne Fontaine",,,,way
"Avenue Curé Glibert",,,,way
"Avenue Englebert",,,,way
"Avenue Félix",,,,way
"Avenue Fond Jean Rosy",,,,way
"Avenue Fond de la Vigne",,,,way
"Avenue Françoise",,,,way
"Avenue Général Cordier",,,,way
"Avenue Georges Marchal",,,,way
"Avenue Gevaert",,,,way
"Avenue Hector Steyaert",,,,way
"Avenue Herbert Hoover",,,,way
"Avenue Hulet",,,,way
"Avenue Jacqueline",,,,way
"Avenue Jean Hermant",,,,way
"Avenue Jeanne",,,,way
"Avenue Joséphine-Charlotte",,,,way
"Avenue Legrand",,,,way
"Avenue Léopold",,,,way
"Avenue Lieutenant Frederic Boon",,,,way
"Avenue Lieutenant Frédéric Boon",,,,way
"Avenue Marie-Christine",,,,way
"Avenue Marie-Jeanne",,,,way
"Avenue Marie-José",,,,way
"Avenue Monseigneur",,,,way
"Avenue Normande",,,,way
"Avenue Nouvelle",,,,way
"Avenue Privée",,,,way
"Avenue Rose France",,,,way
"Avenue Royale",,,,way
"Avenue Suzanne",,,,way
"Avenue Thérèse",,,,way
"Avenue Yvan",,,,way
"Avenue d'Elsenborn",,,,way
"Avenue de L'Aurore",,,,way
"Avenue de Merode",,,,way
"Avenue de Nivelles",,,,way
"Avenue de Poperinge",,,,way
"Avenue de Ripont",,,,way
"Avenue de Villefranche",,,,way
"Avenue de Winterberg",,,,way
"Avenue de l'Avenir",,,,way
"Avenue de l'Europe",,,,way
"Avenue de la Biche",,,,way
"Avenue de la Chataigneraie",,,,way
"Avenue de la Faisanderie",,,,way
"Avenue de la Petite Cense",,,,way
"Avenue de la Ransbienne",,,,way
"Avenue de la Rasbienne",,,,way
"Avenue de la Résistance",,,,way
"Avenue de la Roseraie",,,,way
"Avenue de la Sapinière",,,,way
"Avenue des 3 Sources",,,,way
"Avenue des Acacias",,,,way
"Avenue des Anémones",,,,way
"Avenue des Aubépines",,,,way
"Avenue des Azalées",,,,way
"Avenue des Cerisiers",,,,way
"Avenue des Combattants",,,,way
"Avenue des Combattants / Rue du Vallon",,,,way
"Avenue des Cormiers",,,,way
"Avenue des Eaux-Vives",,,,way
"Avenue des Erables",,,,way
"Avenue des Etourneaux",,,,way
"Avenue des Genêts",,,,way
"Avenue des Grenadiers",,,,way
"Avenue des Hauts Taillis",,,,way
"Avenue des Jonquilles",,,,way
"Avenue des Merisiers",,,,way
"Avenue des Neugis",,,,way
"Avenue des Pâquerettes",,,,way
"Avenue des Ramiers",,,,way
"Avenue des Sorbiers",,,,way
"Avenue du Bois Sainte Catherine",,,,way
"Avenue du Bois du Héron",,,,way
"Avenue du Bois-la-haut",,,,way
"Avenue du Bosquet",,,,way
"Avenue du Centre",,,,way
"Avenue du Château",,,,way
"Avenue du Clos Royal",,,,way
"Avenue du Fond Marie Monseu",,,,way
"Avenue du Joli Mai",,,,way
"Avenue du Lac",,,,way
"Avenue du Pèlerin",,,,way
"Avenue du Québec",,,,way
"Avenue du Rond Point",,,,way
"Avenue du Sartage",,,,way
"Avenue du Théâtre",,,,way
"Avenue du Touquet",,,,way
"Avenues des sept Bonniers",,,,way
"Beau Site Cinquième Avenue",,,,way
"Beau Site Deuxième Avenue",,,,way
"Beau Site Première Avenue",,,,way
"Beau Site Quatrième Avenue",,,,way
"Beau Site Troisième Avenue",,,,way
"Beau site 1ère Avenue",,,,way
Biesbempt,,,,way
"Bois Pirat, accès n° 40",,,,way
"Bois des Mayeurs",,,,way
"CLos des Poplis",,,,way
"Centenaire - 1ère avenue",,,,way
"Centenaire - 2ème avenue",,,,way
"Centenaire - 3ème avenue",,,,way
"Centenaire - 4ème avenue",,,,way
"Centenaire - 5ème avenue",,,,way
"Champ de la  Garenne",,,,way
"Champ de la Garenne",,,,way
"Champ des Pétrales",,,,way
"Champ des alouettes",,,,way
"Champ du Cygne",,,,way
"Champ du Petit Bois",,,,way
"Champ du signe",,,,way
"Chaussée de Lasne",,,,way
"Chemin Demanet",,,,way
"Chemin Denis",,,,way
"Chemin Saint-Anne",,,,way
"Chemin de la Campagne du Baudet",,,,way
"Chemin de la Carrière",,,,way
"Chemin de la Source",,,,way
"Chemin de la ferme rose",,,,way
"Chemin de la voie du Tram",,,,way
"Chemin des 2 Fermes",,,,way
"Chemin des Aïeux",,,,way
"Chemin des Brouettes",,,,way
"Chemin des Forsythias",,,,way
"Chemin du Belloy",,,,way
"Chemin du Collège",,,,way
"Chemin du Grand Prieur",,,,way
"Chemin du Meunier",,,,way
"Chemin du Prince",,,,way
"Chemin du Vieux Marchal",,,,way
"Chemin n°19",,,,way
"Chêne à la Croix",,,,way
"Clos Cense du Sart",,,,way
"Clos Domvart",,,,way
"Clos Sainte-Anne",,,,way
"Clos de l'Enfant des étoiles",,,,way
"Clos de la Brise",,,,way
"Clos de la Lisière",,,,way
"Clos de la Mare aux Loups",,,,way
"Clos de la Mazerine",,,,way
"Clos de la Pergola",,,,way
"Clos de la Pommerage",,,,way
"Clos des Buissons",,,,way
"Clos des Campanules",,,,way
"Clos des Lilas Blancs",,,,way
"Clos des Marnières",,,,way
"Clos des Poplis",,,,way
"Clos des quatre vents",,,,way
"Clos du Bocage",,,,way
"Clos du Bois d'Aywiers",,,,way
"Clos du Champ de Bourgeois",,,,way
"Clos du Verger",,,,way
"Colline du Glain",,,,way
"Drève des Etangs",,,,way
"Drève des Magnolias",,,,way
"Drève des Sapins",,,,way
"Drève du Château",,,,way
"Drève du Fory",,,,way
"Drève du Val Saint-Pierre",,,,way
Eechelenpoel,,,,way
"Fond Tasnier",,,,way
"Fontaine Fonteny",,,,way
"Fontaine au Chêne",,,,way
"Genvalstraat / Rue de Genval",,,,way
"Impasse de la Bruyère",,,,way
"Kamvoetweg / La Verte Voie",,,,way
"Leemveldstraat / La Verte Voie",,,,way
Meerlaan,,,,way
Olmengaarde,,,,way
"Pachis à la Croix",,,,way
"Petite Avenue Léopold",,,,way
"Petite Rue Belle Vue",,,,way
"Petite Rue Mahiermont",,,,way
"Petite rue du Vallon",,,,way
"Place Adrien Hubaut",,,,way
"Place Ardelle",,,,way
"Place Communale",,,,way
"Place Communale de Genval",,,,way
"Place Jack Jefferys",,,,way
"Place Raymond Becquevort",,,,way
"Place Verte",,,,way
"Place de la Gare",,,,way
"Place de la Vieille Taille",,,,way
"Place des Martyrs",,,,way
"Place du Beau Site",,,,way
"Place du Millénaire",,,,way
"Pré Dannonsart",,,,way
"Pré Maillard",,,,way
"Promenade de Birstall",,,,way
"Quai du Tram",,,,way
"Rond-Point Moreau de Melen",,,,way
"Rond-Point du Colonel Jacques Dargent",,,,way
"Rond-Point du Lac",,,,way
"Route d'Ohain",,,,way
"Route de Genval",,,,way
"Route du Ry-Beau-Ry",,,,way
Rozierensesteenweg,,,,way
"Rozierensesteenweg / Rue de Malaise",,,,way
"Rue Balatum",,,,way
"Rue Bois du Bosquet",,,,way
"Rue Charles-François Loos",,,,way
"Rue Dehan",,,,way
"Rue Haute",,,,way
"Rue Jean-Baptiste Stouffs",,,,way
"Rue Jean-Baptiste Vandercam",,,,way
"Rue Jolie",,,,way
"Rue Joseph Desmet",,,,way
"Rue Joseph Sneessens",,,,way
"Rue Kwakenbienne",,,,way
"Rue Lambermont",,,,way
"Rue Mahiermont",,,,way
"Rue Mascau",,,,way
"Rue Rosier Bois",,,,way
"Rue Salmon",,,,way
"Rue Tombeek Beauseant",,,,way
"Rue de Belle Vue",,,,way
"Rue de Bierges",,,,way
"Rue de Froidmont",,,,way
"Rue de Genval",,,,way
"Rue de La Hulpe",,,,way
"Rue de Limal",,,,way
"Rue de Limalsart",,,,way
"Rue de Malaise",,,,way
"Rue de Messe",,,,way
"Rue de Renipont",,,,way
"Rue de Rixensart",,,,way
"Rue de Rofessart",,,,way
"Rue de Rosières",,,,way
"Rue de Tombeek",,,,way
"Rue de l'Augette",,,,way
"Rue de l'Église",,,,way
"Rue de l'Institut",,,,way
"Rue de l’Église Saint-André",,,,way
"Rue de la Bassette",,,,way
"Rue de la Bruyère",,,,way
"Rue de la Chapelle",,,,way
"Rue de la Chapelle aux Prés",,,,way
"Rue de la Ferme",,,,way
"Rue de la Ferme du Plagniau",,,,way
"Rue de la Fontaine",,,,way
"Rue de la Gare",,,,way
"Rue de la Grande Bruyère",,,,way
"Rue de la Hulpe",,,,way
"Rue de la Manteline",,,,way
"Rue de la Montagne",,,,way
"Rue de la Procession",,,,way
"Rue de la Reine",,,,way
"Rue de la Sablière",,,,way
"Rue de la Station",,,,way
"Rue de la Taillette",,,,way
"Rue de la Tasnière",,,,way
"Rue de la ferme du plagniau",,,,way
"Rue de la fontaine",,,,way
"Rue des Ateliers",,,,way
"Rue des Bergères",,,,way
"Rue des Bleuets",,,,way
"Rue des Brasseries",,,,way
"Rue des Cailloux",,,,way
"Rue des Chariots",,,,way
"Rue des Déportés",,,,way
"Rue des Ecoles",,,,way
"Rue des Fleurs",,,,way
"Rue des Jonquilles",,,,way
"Rue des Lilas",,,,way
"Rue des Templiers",,,,way
"Rue des Volontaires",,,,way
"Rue du Baillois",,,,way
"Rue du Bazar",,,,way
"Rue du Bois Pirart",,,,way
"Rue du Bois de Broux",,,,way
"Rue du Bois du Bosquet",,,,way
"Rue du Cerf",,,,way
"Rue du Champ l'Abbé",,,,way
"Rue du Colonel Montegnie",,,,way
"Rue du Couvent",,,,way
"Rue du Curé",,,,way
"Rue du Cyclone",,,,way
"Rue du Fory",,,,way
"Rue du Grand Cortil",,,,way
"Rue du Gros Tienne",,,,way
"Rue du Monastère",,,,way
"Rue du Moulin",,,,way
"Rue du Panorama",,,,way
"Rue du Patch",,,,way
"Rue du Plagneau",,,,way
"Rue du Plagniau",,,,way
"Rue du Pré Maillard",,,,way
"Rue du Réservoir",,,,way
"Rue du Roi",,,,way
"Rue du Striquet",,,,way
"Rue du Tilleul",,,,way
"Rue du Vallon",,,,way
"Rue du vieux moulin",,,,way
"Ruelle des Tombes",,,,way
S57,,,,way
"Sentier 51 (anciennement Champ Vanceau)",,,,way
"Sentier Belle-Dame",,,,way
"Sentier Chapelle Robert",,,,way
"Sentier Cortil Jérome",,,,way
"Sentier Doyen Clément",,,,way
"Sentier Françoise Humblet-Vieujant",,,,way
"Sentier Marcel Ladrier",,,,way
"Sentier Marguerite",,,,way
"Sentier Numéro 42",,,,way
"Sentier Passiche",,,,way
"Sentier Pierre Louis - mazerine",,,,way
"Sentier Saint-Anne",,,,way
"Sentier de Bradu",,,,way
"Sentier de Lambermont",,,,way
"Sentier de Ruhondo",,,,way
"Sentier de Trelon",,,,way
"Sentier de Woo",,,,way
"Sentier de la Campagne du Baudet",,,,way
"Sentier de la Chapelle aux Prés",,,,way
"Sentier de la Procession",,,,way
"Sentier de la Ransbienne",,,,way
"Sentier de la Vierge",,,,way
"Sentier de la fontaine",,,,way
"Sentier de la reine",,,,way
"Sentier des Chevreuils",,,,way
"Sentier des Choristes",,,,way
"Sentier des Coquelicots",,,,way
"Sentier des Muguets",,,,way
"Sentier des Nonnetes",,,,way
"Sentier des Papeteries",,,,way
"Sentier du Baillois",,,,way
"Sentier du Bazar",,,,way
"Sentier du Bois Moué",,,,way
"Sentier du Bois d'Aywiers",,,,way
"Sentier du Bois de Chapelle",,,,way
"Sentier du Carpu",,,,way
"Sentier du Cimetière",,,,way
"Sentier du Coucou",,,,way
"Sentier du Culot",,,,way
"Sentier du Martin Pêcheur",,,,way
"Sentier du Panorama",,,,way
"Sentier du Pélerin",,,,way
"Sentier du Pont du Glain",,,,way
"Sentier du Pré Maillard (n°39)",,,,way
"Sentier du Printemps",,,,way
"Sentier du Rossignol",,,,way
"Sentier du Val du Heron",,,,way
"Sentier du Vieux Champêtre",,,,way
"Sentier du bois de Ballois",,,,way
"Sentier n°19",,,,way
"Square de la Résistance",,,,way
"Square des Papeteries",,,,way
"Square des Primevères",,,,way
"Tunnel du Pertuis",,,,way
"Val de la Rivière",,,,way
"Vieux chemin de l'Helpe",,,,way
Zavelbergstraat,,,,way
"chemin du Pélerin",,,,way
"rue de la Ferme de Plagniau",,,,way
"sentier du plagniau",,,,way
